model,reasoning,carrier,semantic_success,strategy,count,group_trials,within_group_rate
gpt-5.3-codex-spark,xhigh,jitter,False,direct_one_pass_tool_free,2,19,0.10526315789473684
gpt-5.3-codex-spark,xhigh,jitter,False,generic_corruption_detection,5,19,0.2631578947368421
gpt-5.3-codex-spark,xhigh,jitter,False,lexical_reconstruction_without_stride,1,19,0.05263157894736842
gpt-5.3-codex-spark,xhigh,jitter,False,repeated_reconstruction,7,19,0.3684210526315789
gpt-5.3-codex-spark,xhigh,jitter,False,shell_or_tool_assisted_decoder,4,19,0.21052631578947367
gpt-5.3-codex-spark,xhigh,jitter,True,repeated_reconstruction,1,1,1.0
gpt-5.6-luna,high,all-shuffled,False,direct_one_pass_tool_free,1,3,0.3333333333333333
gpt-5.6-luna,high,all-shuffled,False,indeterminate,1,3,0.3333333333333333
gpt-5.6-luna,high,all-shuffled,False,lexical_reconstruction_without_stride,1,3,0.3333333333333333
gpt-5.6-luna,high,fixed,False,direct_one_pass_tool_free,12,12,1.0
gpt-5.6-luna,high,fixed,True,direct_one_pass_tool_free,8,8,1.0
gpt-5.6-luna,high,jitter,False,direct_one_pass_tool_free,13,15,0.8666666666666667
gpt-5.6-luna,high,jitter,False,generic_corruption_detection,1,15,0.06666666666666667
gpt-5.6-luna,high,jitter,False,indeterminate,1,15,0.06666666666666667
gpt-5.6-luna,high,jitter,True,direct_one_pass_tool_free,5,5,1.0
gpt-5.6-luna,medium,all-shuffled,False,direct_one_pass_tool_free,2,3,0.6666666666666666
gpt-5.6-luna,medium,all-shuffled,False,indeterminate,1,3,0.3333333333333333
gpt-5.6-luna,medium,fixed,False,direct_one_pass_tool_free,14,15,0.9333333333333333
gpt-5.6-luna,medium,fixed,False,generic_corruption_detection,1,15,0.06666666666666667
gpt-5.6-luna,medium,fixed,True,direct_one_pass_tool_free,5,5,1.0
gpt-5.6-luna,medium,jitter,False,direct_one_pass_tool_free,14,14,1.0
gpt-5.6-luna,medium,jitter,True,direct_one_pass_tool_free,6,6,1.0
gpt-5.6-luna,xhigh,all-shuffled,False,indeterminate,1,3,0.3333333333333333
gpt-5.6-luna,xhigh,all-shuffled,False,lexical_reconstruction_without_stride,1,3,0.3333333333333333
gpt-5.6-luna,xhigh,all-shuffled,False,repeated_reconstruction,1,3,0.3333333333333333
gpt-5.6-luna,xhigh,fixed,False,direct_one_pass_tool_free,12,12,1.0
gpt-5.6-luna,xhigh,fixed,True,direct_one_pass_tool_free,7,8,0.875
gpt-5.6-luna,xhigh,fixed,True,lexical_reconstruction_without_stride,1,8,0.125
gpt-5.6-luna,xhigh,jitter,False,direct_one_pass_tool_free,10,10,1.0
gpt-5.6-luna,xhigh,jitter,True,direct_one_pass_tool_free,10,10,1.0
gpt-5.6-sol,high,all-shuffled,False,explicit_stride_testing,1,3,0.3333333333333333
gpt-5.6-sol,high,all-shuffled,False,lexical_reconstruction_without_stride,2,3,0.6666666666666666
gpt-5.6-sol,high,fixed,False,direct_one_pass_tool_free,12,12,1.0
gpt-5.6-sol,high,fixed,True,direct_one_pass_tool_free,8,8,1.0
gpt-5.6-sol,high,jitter,False,direct_one_pass_tool_free,4,4,1.0
gpt-5.6-sol,high,jitter,True,direct_one_pass_tool_free,16,16,1.0
gpt-5.6-sol,medium,all-shuffled,False,explicit_stride_testing,2,3,0.6666666666666666
gpt-5.6-sol,medium,all-shuffled,False,generic_corruption_detection,1,3,0.3333333333333333
gpt-5.6-sol,medium,fixed,False,direct_one_pass_tool_free,9,9,1.0
gpt-5.6-sol,medium,fixed,True,direct_one_pass_tool_free,11,11,1.0
gpt-5.6-sol,medium,jitter,False,direct_one_pass_tool_free,4,4,1.0
gpt-5.6-sol,medium,jitter,True,direct_one_pass_tool_free,16,16,1.0
gpt-5.6-sol,xhigh,all-shuffled,False,explicit_fixed_stride_recognition,1,3,0.3333333333333333
gpt-5.6-sol,xhigh,all-shuffled,False,explicit_stride_testing,1,3,0.3333333333333333
gpt-5.6-sol,xhigh,all-shuffled,False,repeated_reconstruction,1,3,0.3333333333333333
gpt-5.6-sol,xhigh,fixed,False,direct_one_pass_tool_free,7,7,1.0
gpt-5.6-sol,xhigh,fixed,True,direct_one_pass_tool_free,12,13,0.9230769230769231
gpt-5.6-sol,xhigh,fixed,True,explicit_stride_testing,1,13,0.07692307692307693
gpt-5.6-sol,xhigh,jitter,False,direct_one_pass_tool_free,3,3,1.0
gpt-5.6-sol,xhigh,jitter,True,direct_one_pass_tool_free,17,17,1.0
gpt-5.6-terra,high,all-shuffled,False,direct_one_pass_tool_free,1,3,0.3333333333333333
gpt-5.6-terra,high,all-shuffled,False,generic_corruption_detection,2,3,0.6666666666666666
gpt-5.6-terra,high,fixed,False,direct_one_pass_tool_free,13,13,1.0
gpt-5.6-terra,high,fixed,True,direct_one_pass_tool_free,6,7,0.8571428571428571
gpt-5.6-terra,high,fixed,True,lexical_reconstruction_without_stride,1,7,0.14285714285714285
gpt-5.6-terra,high,jitter,False,direct_one_pass_tool_free,15,15,1.0
gpt-5.6-terra,high,jitter,True,direct_one_pass_tool_free,5,5,1.0
gpt-5.6-terra,medium,all-shuffled,False,generic_corruption_detection,2,3,0.6666666666666666
gpt-5.6-terra,medium,all-shuffled,False,lexical_reconstruction_without_stride,1,3,0.3333333333333333
gpt-5.6-terra,medium,fixed,False,direct_one_pass_tool_free,17,17,1.0
gpt-5.6-terra,medium,fixed,True,direct_one_pass_tool_free,3,3,1.0
gpt-5.6-terra,medium,jitter,False,direct_one_pass_tool_free,11,11,1.0
gpt-5.6-terra,medium,jitter,True,direct_one_pass_tool_free,9,9,1.0
gpt-5.6-terra,xhigh,all-shuffled,False,generic_corruption_detection,2,3,0.6666666666666666
gpt-5.6-terra,xhigh,all-shuffled,False,lexical_reconstruction_without_stride,1,3,0.3333333333333333
gpt-5.6-terra,xhigh,fixed,False,direct_one_pass_tool_free,14,14,1.0
gpt-5.6-terra,xhigh,fixed,True,direct_one_pass_tool_free,6,6,1.0
gpt-5.6-terra,xhigh,jitter,False,direct_one_pass_tool_free,10,10,1.0
gpt-5.6-terra,xhigh,jitter,True,direct_one_pass_tool_free,10,10,1.0
